,Number/Click,Time,Connection Status,COM,Voltage,City_Volt_1,City_Volt_2,City_Volt_3,Gen_Volt_1,Gen_Volt_2,Gen_Volt_3,Alarm,Condition,Remarks,COMName,RemoteIP
0,1,-,Connceted,2,-,-,-,-,-,-,-,-,-,SJVH_Khando,2,10.170.0.54
1,2,1635,Connceted,5,12.7V,V,V,V,V,V,V,-,auto,KAKH_Shuamta,5,10.170.2.149
2,3,17690,Connceted,8,12.7V,V,V,V,V,V,V,-,auto,KAKH_Davit_Gareji,8,10.170.1.12
3,4,-,Not Connceted,9,-,-,-,-,-,-,-,-,-,ADJR_Keda_TV,9,10.170.10.15
4,5,-,Not Connceted,10,-,-,-,-,-,-,-,-,-,SJVH_Tskhratskaro,10,10.170.0.139
5,6,-,Not Connceted,12,-,-,-,-,-,-,-,-,-,IMRT_Boriti,12,10.170.12.28
6,7,-,Not Connceted,13,-,-,-,-,-,-,-,-,-,GURI_Nabeghlavi,13,10.170.11.12
7,8,-,Not Connceted,14,-,-,-,-,-,-,-,-,-,KRTL_Irganchai,14,10.170.3.109
8,9,2757,Connceted,15,12.7V,V,V,V,V,V,V,-,auto,KRTL_Angrevani,15,10.170.3.22
9,10,15214,Connceted,16,12.9V,V,V,V,V,V,V,-,auto,MSTN_Magaroskari,16,10.170.5.104
10,11,-,Not Connceted,17,-,-,-,-,-,-,-,-,-,ADJR_Shuakhevi_TV,17,10.170.10.37
11,12,8834,Connceted,19,13.5V,208V,208V,208V,V,V,V,-,auto,SJVH_Borjomi_TV,19,10.170.0.137
12,13,19077,Connceted,20,12.7V,V,V,V,V,V,V,-,auto,SJVH_Kartsakhi,20,10.170.0.97
13,14,676,Connceted,21,12.8V,V,V,V,V,V,V,-,auto,SJVH_Mamtsvara,21,10.170.0.90
14,15,-,Not Connceted,22,-,-,-,-,-,-,-,-,-,SJVH_Efremovka,22,10.170.0.80
15,16,3255,Connceted,23,14.5V,20V,16V,17V,232V,233V,232V,WARNING : Service Request,auto,MSTN_Sioni,23,10.170.2.132
16,17,314,Connceted,24,13V,V,V,V,V,V,V,-,auto,MSTN_Khevsurtsopeli,24,10.170.5.110
17,18,-,Connceted,25,-,-,-,-,-,-,-,-,-,KRTL_Rekha,25,10.170.3.103
18,19,4627,Connceted,26,13.5V,229V,220V,192V,V,V,V,-,auto,KRTL_Tsalka,26,10.170.3.107
19,20,4191,Connceted,27,13.3V,V,V,V,V,V,V,-,auto,KRTL_Bediani_Kldisi,27,10.170.3.12
20,21,2267,Connceted,28,14.3V,V,V,V,217V,218V,218V,-,auto,KRTL_Tsopi,28,10.170.3.101
21,22,3489,Connceted,29,13.8V,243V,245V,246V,V,V,V,-,auto,MSTN_Gudauri_TV,29,10.170.3.51
22,23,4918,Connceted,30,12.9V,V,V,V,V,V,V,-,auto,SVAN_Chuberi,30,10.170.15.99
23,24,37397,Connceted,31,13.7V,238V,237V,240V,V,V,V,-,auto,KAKH_Gamarjveba,31,10.170.2.118
24,25,50770,Connceted,32,14.4V,24V,23V,22V,220V,224V,222V,-,test,SHDK_Okami,32,10.170.5.106
