,Number/Click,Time,Connection Status,COM,Voltage,City_Volt_1,City_Volt_2,City_Volt_3,Gen_Volt_1,Gen_Volt_2,Gen_Volt_3,Alarm,Condition
0,1,-,Connceted,2,-,-,-,-,-,-,-,-,-
1,2,1455,Connceted,5,12.7V,V,V,V,V,V,V,-,stop
2,3,17568,Connceted,8,12.7V,V,V,V,V,V,V,WARNING : Service Request,auto
3,4,2303,Connceted,9,12.7V,V,V,V,V,V,V,WARNING : Service Request,auto
4,5,439,Connceted,10,12.9V,V,V,V,V,V,V,WARNING : Service Request,auto
5,6,2458,Connceted,12,13.9V,223V,231V,217V,V,V,V,-,auto
6,7,1324,Connceted,13,14.5V,25V,25V,25V,231V,233V,240V,-,auto
7,8,-,Not Connceted,14,-,-,-,-,-,-,-,-,-
8,9,2521,Connceted,15,12.9V,V,V,V,V,V,V,-,auto
9,10,15039,Connceted,16,13.1V,V,V,V,V,V,V,-,auto
10,11,-,Not Connceted,17,-,-,-,-,-,-,-,-,-
11,12,8833,Connceted,19,13.5V,212V,212V,212V,V,V,V,-,auto
12,13,-,Not Connceted,20,-,-,-,-,-,-,-,-,-
13,14,414,Connceted,21,12.6V,V,V,V,V,V,V,WARNING : Service Request,auto
14,15,-,Not Connceted,22,-,-,-,-,-,-,-,-,-
15,16,414,Connceted,23,14.5V,20V,15V,16V,230V,231V,232V,-,auto
16,17,83,Connceted,24,14.4V,V,V,V,230V,236V,228V,-,auto
17,18,4447,Connceted,25,13.6V,220V,219V,219V,V,V,V,-,auto
18,19,4627,Connceted,26,13.7V,222V,215V,222V,V,V,V,-,auto
19,20,4014,Connceted,27,15.2V,V,V,V,225V,237V,229V,-,auto
20,21,1960,Connceted,28,12.9V,V,V,V,V,V,V,-,auto
21,22,3482,Connceted,29,13.8V,244,246V,247V,V,V,V,-,auto
22,23,4666,Connceted,30,14.5V,V,V,V,235V,227V,230V,-,auto
23,24,37395,Connceted,31,13.7V,240V,239V,241V,V,V,V,-,auto
24,25,50432,Connceted,32,14.3V,27V,27V,24V,217V,225V,221V,-,auto
25,26,1526,Connceted,33,13.8V,218V,221V,221V,V,V,V,-,auto
26,27,1958,Connceted,34,13.3V,236V,236V,235V,V,V,V,-,auto
27,28,1146,Connceted,36,12.8V,V,V,V,V,V,V,-,auto
28,29,1255,Connceted,37,13.6V,219V,220V,220V,V,V,V,-,auto
29,30,-,Connceted,38,-,-,-,-,-,-,-,-,-
30,31,1658,Connceted,39,13.5V,219V,229V,222V,V,V,V,-,auto
31,32,576,Connceted,41,13.8V,228V,228V,228V,V,V,V,-,auto
32,33,20175,Connceted,42,13.6V,V,V,V,V,V,V,-,auto
33,34,-,Not Connceted,43,-,-,-,-,-,-,-,-,-
34,35,-,Not Connceted,44,-,-,-,-,-,-,-,-,-
35,36,11315,Connceted,45,14.6V,V,V,V,230V,233V,231V,-,auto
36,37,192,Connceted,46,13.7V,236V,237V,237V,V,V,V,-,auto
37,38,7897,Connceted,48,14.2V,V,7V,8V,225V,234V,232V,-,auto
38,39,-,Not Connceted,49,-,-,-,-,-,-,-,-,-
39,40,26698,Connceted,54,13.5V,219V,226V,227V,V,V,V,-,auto
40,41,-,Not Connceted,55,-,-,-,-,-,-,-,-,-
41,42,26698,Connceted,56,13.5V,219V,227V,227V,V,V,V,-,auto
42,43,219,Connceted,57,13.7V,221V,223V,223V,V,V,V,-,auto
43,44,763,Connceted,58,13.6V,219V,204V,218V,V,V,V,-,auto
44,45,1818,Connceted,80,13.6V,226V,220V,217V,V,V,V,-,auto
45,46,-,Not Connceted,18,-,-,-,-,-,-,-,-,-
46,47,-,Not Connceted,155,-,-,-,-,-,-,-,-,-
47,48,-,Not Connceted,95,-,-,-,-,-,-,-,-,-
48,49,5083,Connceted,124,13.4V,229V,222V,229V,V,V,V,-,auto
49,50,798,Connceted,35,13.8V,231V,231V,230V,V,V,V,-,auto
50,51,1141,Connceted,120,13.6V,209V,209V,208V,V,V,V,-,auto
51,52,527,Connceted,81,13.8V,207V,209V,204V,V,V,V,-,auto
52,53,1320,Connceted,40,13.6V,218V,224V,218V,V,V,V,-,auto
53,54,1493,Connceted,6,12.8V,V,V,V,V,V,V,WARNING : Service Request,auto
54,55,14318,Connceted,88,13.9V,206V,207V,206V,V,V,V,WARNING : Service Request,auto
55,56,9475,Connceted,152,13.7V,234V,234V,232V,V,V,V,-,auto
56,57,-,Not Connceted,156,-,-,-,-,-,-,-,-,-
57,58,294,Connceted,150,13.6V,211V,214V,214V,V,V,V,-,auto
58,59,18777,Connceted,151,13.6V,219V,235V,215V,V,V,V,-,auto
59,60,1152,Connceted,148,13.7V,239V,239V,237V,V,V,V,-,auto
60,61,1457,Connceted,149,13.7V,232V,231V,232V,V,V,V,-,auto
61,62,5,Connceted,146,13.3V,242,242V,242V,V,V,V,-,auto
62,63,2159,Connceted,147,13.7V,235V,235V,235V,V,V,V,WARNING : Service Request,auto
63,64,614,Connceted,145,13.6V,247,231V,230V,V,V,V,-,auto
64,65,74,Connceted,144,13.8V,217V,233V,217V,V,V,V,-,auto
65,66,197,Connceted,141,13.4V,210V,209V,209V,V,V,V,-,stop
66,67,8426,Connceted,143,13.4V,220V,216V,218V,V,V,V,-,auto
67,68,579,Connceted,142,12.6V,V,V,V,V,V,V,-,auto
68,69,383,Connceted,140,13.5V,224V,225V,223V,V,V,V,-,auto
69,70,-,Not Connceted,139,-,-,-,-,-,-,-,-,-
70,71,2328,Connceted,4,13.5V,187V,187V,186V,V,V,V,-,stop
71,72,364,Connceted,138,13.6V,229V,229V,214V,V,V,V,-,auto
72,73,10879,Connceted,136,13.5V,223V,223V,223V,V,V,V,-,auto
73,74,-,Not Connceted,137,-,-,-,-,-,-,-,-,-
74,75,179,Connceted,133,13.1V,249V,249V,249V,V,V,V,-,auto
75,76,122,Connceted,131,13.8V,217V,217V,219V,V,V,V,-,auto
76,77,-,Connceted,135,-,-,-,-,-,-,-,-,-
77,78,872,Connceted,132,13.6V,225V,219V,236V,V,V,V,-,auto
78,79,17,Connceted,129,13.5V,215V,223V,218V,V,V,V,-,auto
79,80,88,Connceted,134,14.5V,228V,228V,231V,V,V,V,-,auto
