,Number/Click,Time,Connection Status,COM,Voltage,City_Volt_1,City_Volt_2,City_Volt_3,Gen_Volt_1,Gen_Volt_2,Gen_Volt_3,Alarm,Condition
0,1,-,Connceted,2,-,-,-,-,-,-,-,-,-
1,2,1166,Connceted,5,13.1V,V,V,V,V,V,V,-,auto
2,3,17396,Connceted,8,12.8V,V,V,V,V,V,V,-,auto
3,4,1850,Connceted,9,13V,V,V,V,V,V,V,WARNING : Service Request,auto
4,5,184,Connceted,10,12.9V,V,V,V,V,V,V,-,auto
5,6,2414,Connceted,12,14.5V,V,V,V,230V,235V,229V,WARNING : High Temp. Sender,auto
6,7,1009,Connceted,13,14.5V,25V,25V,25V,231V,234V,240V,-,auto
7,8,-,Not Connceted,14,-,-,-,-,-,-,-,-,-
8,9,2174,Connceted,15,14.3V,V,V,V,237V,230V,236V,-,auto
9,10,14807,Connceted,16,12.5V,V,V,V,V,V,V,-,auto
10,11,-,Not Connceted,17,-,-,-,-,-,-,-,-,-
11,12,-,Not Connceted,18,-,-,-,-,-,-,-,-,-
12,13,-,Not Connceted,19,-,-,-,-,-,-,-,-,-
13,14,18564,Connceted,20,12.7V,V,V,V,V,V,V,-,auto
14,15,-,Not Connceted,21,-,-,-,-,-,-,-,-,-
15,16,-,Not Connceted,22,-,-,-,-,-,-,-,-,-
16,17,2720,Connceted,23,12.8V,V,V,V,V,V,V,WARNING : Service Request,auto
17,18,28510,Connceted,24,12.7V,V,V,V,V,V,V,-,auto
18,19,4446,Connceted,25,13.6V,220V,220V,220V,V,V,V,-,auto
19,20,4501,Connceted,26,13.7V,210V,216V,228V,V,V,V,-,auto
20,21,3736,Connceted,27,13.2V,V,V,V,V,V,V,-,auto
21,22,1547,Connceted,28,14.4V,V,V,V,217V,222V,229V,WARNING : Service Request,auto
22,23,3481,Connceted,29,13.8V,247,249V,250V,V,V,V,SHUTDOWN ALARM: Genset Low Voltage,auto
23,24,4274,Connceted,30,12.9V,V,V,V,V,V,V,WARNING : Service Request,auto
24,25,37395,Connceted,31,13.7V,237V,236V,239V,V,V,V,-,auto
25,26,50041,Connceted,32,12.7V,V,V,V,V,V,V,-,auto
26,27,1524,Connceted,33,13.8V,218V,222V,221V,V,V,V,-,auto
27,28,1928,Connceted,34,14.4V,V,V,V,232V,231V,224V,WARNING : Low Oil Press. Sender,auto
28,29,680,Connceted,36,14.4V,V,V,6V,231V,232V,230V,-,auto
29,30,-,Not Connceted,37,-,-,-,-,-,-,-,-,-
30,31,3113,Connceted,38,14.3V,2V,V,V,232V,230V,222V,WARNING : Service Request,auto
31,32,1638,Connceted,39,13.6V,218V,226V,226V,V,V,V,-,auto
32,33,-,Not Connceted,41,-,-,-,-,-,-,-,-,-
33,34,19872,Connceted,42,12.9V,V,V,V,V,V,V,-,auto
34,35,21741,Connceted,43,13.5V,218V,218V,218V,V,V,V,-,auto
35,36,-,Not Connceted,44,-,-,-,-,-,-,-,-,-
36,37,10938,Connceted,45,13V,V,V,V,V,V,V,-,auto
37,38,158,Connceted,46,13.9V,239V,239V,235V,V,V,V,SHUTDOWN ALARM: Fail to Start,auto
38,39,7579,Connceted,48,12.7V,V,V,V,V,V,V,-,auto
39,40,-,Not Connceted,49,-,-,-,-,-,-,-,-,-
40,41,-,Not Connceted,53,-,-,-,-,-,-,-,-,-
41,42,26698,Connceted,54,13.5V,222V,214V,215V,V,V,V,-,auto
