,Number/Click,Time,Connection Status,COM,Voltage,City_Volt_1,City_Volt_2,City_Volt_3,Gen_Volt_1,Gen_Volt_2,Gen_Volt_3,Alarm,Condition
0,1,-,Not Connceted,2,-,-,-,-,-,-,-,-,-
1,2,1430,Connceted,5,14.5V,8V,V,V,230V,231V,232V,-,auto
2,3,17552,Connceted,8,14.4V,5V,V,6V,239V,236V,230V,WARNING : Service Request,auto
3,4,2253,Connceted,9,14.3V,V,V,V,233V,227V,231V,WARNING : Service Request,auto
4,5,408,Connceted,10,12.8V,V,V,V,V,V,V,WARNING : Service Request,auto
5,6,2458,Connceted,12,13.9V,225V,223V,227V,V,V,V,-,auto
6,7,1286,Connceted,13,12.9V,V,V,V,V,V,V,-,auto
7,8,-,Not Connceted,14,-,-,-,-,-,-,-,-,-
8,9,2487,Connceted,15,14.3V,V,V,V,237V,230V,236V,-,auto
9,10,15017,Connceted,16,12.9V,V,V,V,V,V,V,-,auto
10,11,-,Not Connceted,17,-,-,-,-,-,-,-,-,-
11,12,8833,Connceted,19,13.5V,206V,206V,206V,V,V,V,-,auto
12,13,-,Connceted,20,-,-,-,-,-,-,-,-,-
13,14,365,Connceted,21,12.6V,V,V,V,V,V,V,WARNING : Service Request,auto
14,15,-,Not Connceted,22,-,-,-,-,-,-,-,-,-
15,16,3024,Connceted,23,12.7V,V,V,V,V,V,V,-,auto
16,17,411,Connceted,24,14.3V,V,V,V,230V,235V,229V,-,auto
17,18,4447,Connceted,25,13.6V,219V,219V,219V,V,V,V,-,auto
18,19,-,Not Connceted,26,-,-,-,-,-,-,-,-,-
19,20,3982,Connceted,27,13.4V,V,V,V,V,V,V,-,auto
20,21,1909,Connceted,28,12.7V,V,V,V,V,V,V,WARNING : Service Request,auto
21,22,3482,Connceted,29,13.8V,245V,247V,248V,V,V,V,-,auto
22,23,4619,Connceted,30,14.5V,V,V,V,234V,228V,231V,-,auto
23,24,37395,Connceted,31,13.7V,238V,236V,240V,V,V,V,-,auto
