,Number/Click,Time,Connection Status,COM,Voltage,City_Volt_1,City_Volt_2,City_Volt_3,Gen_Volt_1,Gen_Volt_2,Gen_Volt_3,Alarm,Condition,Remarks,COMName,RemoteIP
0,1,-,Connceted,2,-,-,-,-,-,-,-,-,-,SJVH_Khando,2,10.170.0.54
1,2,1681,Connceted,5,12.7V,V,V,V,V,V,V,-,auto,KAKH_Shuamta,5,10.170.2.149
2,3,17717,Connceted,8,12.9V,V,V,V,V,V,V,-,auto,KAKH_Davit_Gareji,8,10.170.1.12
3,4,2659,Connceted,9,14.3V,V,6V,V,230V,233V,226V,WARNING : Service Request,auto,ADJR_Keda_TV,9,10.170.10.15
4,5,-,Not Connceted,10,-,-,-,-,-,-,-,-,-,SJVH_Tskhratskaro,10,10.170.0.139
5,6,2463,Connceted,12,13.8V,226V,231V,223V,V,V,V,-,auto,IMRT_Boriti,12,10.170.12.28
6,7,-,Not Connceted,13,-,-,-,-,-,-,-,-,-,GURI_Nabeghlavi,13,10.170.11.12
7,8,-,Not Connceted,14,-,-,-,-,-,-,-,-,-,KRTL_Irganchai,14,10.170.3.109
8,9,2807,Connceted,15,12.8V,V,V,V,V,V,V,-,auto,KRTL_Angrevani,15,10.170.3.22
9,10,15251,Connceted,16,13V,V,V,V,V,V,V,-,auto,MSTN_Magaroskari,16,10.170.5.104
10,11,-,Not Connceted,17,-,-,-,-,-,-,-,-,-,ADJR_Shuakhevi_TV,17,10.170.10.37
11,12,8835,Connceted,19,13.6V,206V,206V,206V,V,V,V,-,auto,SJVH_Borjomi_TV,19,10.170.0.137
12,13,19131,Connceted,20,12.8V,V,V,V,V,V,V,-,auto,SJVH_Kartsakhi,20,10.170.0.97
13,14,-,Not Connceted,21,-,-,-,-,-,-,-,-,-,SJVH_Mamtsvara,21,10.170.0.90
14,15,-,Not Connceted,22,-,-,-,-,-,-,-,-,-,SJVH_Efremovka,22,10.170.0.80
15,16,3302,Connceted,23,12.9V,V,V,V,V,V,V,WARNING : Service Request,auto,MSTN_Sioni,23,10.170.2.132
16,17,372,Connceted,24,14.3V,V,V,V,230V,231V,234V,-,auto,MSTN_Khevsurtsopeli,24,10.170.5.110
17,18,4454,Connceted,25,13.6V,219V,219V,219V,V,V,V,-,auto,KRTL_Rekha,25,10.170.3.103
18,19,4627,Connceted,26,13.7V,222V,215V,208V,V,V,V,-,auto,KRTL_Tsalka,26,10.170.3.107
19,20,4234,Connceted,27,13.3V,V,V,V,V,V,V,-,auto,KRTL_Bediani_Kldisi,27,10.170.3.12
20,21,2328,Connceted,28,14.3V,V,V,V,217V,218V,219V,-,auto,KRTL_Tsopi,28,10.170.3.101
21,22,3490,Connceted,29,13.8V,244,246V,247V,V,V,V,-,auto,MSTN_Gudauri_TV,29,10.170.3.51
22,23,4981,Connceted,30,12.8V,V,V,V,V,V,V,-,auto,SVAN_Chuberi,30,10.170.15.99
23,24,37397,Connceted,31,13.7V,233V,232V,236V,V,V,V,-,auto,KAKH_Gamarjveba,31,10.170.2.118
24,25,50864,Connceted,32,12.8V,V,V,V,V,V,V,-,auto,SHDK_Okami,32,10.170.5.106
25,26,-,Not Connceted,33,-,-,-,-,-,-,-,-,-,MSTN_Dusheti_TV,33,10.170.5.120
26,27,1978,Connceted,34,13.3V,243V,243V,242V,V,V,V,-,auto,IMRT_Leghvani,34,10.170.12.15
27,28,1515,Connceted,36,12.8V,V,V,V,V,V,V,-,auto,KRTL_Tandzia_Senebi,36,10.170.3.24
28,29,1256,Connceted,37,13.6V,220V,220V,220V,V,V,V,-,auto,ADJR_Shubani,37,10.170.10.49
29,30,3894,Connceted,38,12.8V,V,V,V,V,V,V,-,auto,MSTN_Nichbisi,38,10.170.5.108
30,31,1666,Connceted,39,13.6V,223V,225V,227V,V,V,V,-,auto,KAKH_Tsivi,39,10.170.2.175
31,32,592,Connceted,41,13.8V,225V,225V,225V,V,V,V,-,auto,ADJR_Gori_Shuakhevi,41,10.170.10.35
