,Number/Click,Time,Connection Status,COM,Voltage,City_Volt_1,City_Volt_2,City_Volt_3,Gen_Volt_1,Gen_Volt_2,Gen_Volt_3,Alarm,Condition
0,1,-,Connceted,2,-,-,-,-,-,-,-,-,-
1,2,1111,Connceted,5,12.7V,V,V,V,V,V,V,-,auto
2,3,17370,Connceted,8,12.7V,V,V,V,V,V,V,-,auto
3,4,1789,Connceted,9,12.7V,V,V,V,V,V,V,-,auto
4,5,-,Connceted,10,-,-,-,-,-,-,-,-,-
5,6,2337,Connceted,12,13.9V,228V,231V,231V,V,V,V,WARNING : High Temp. Sender,auto
6,7,971,Connceted,13,12.9V,V,V,V,V,V,V,-,auto
7,8,-,Not Connceted,14,-,-,-,-,-,-,-,-,-
8,9,2127,Connceted,15,12.8V,V,V,V,V,V,V,-,auto
9,10,14769,Connceted,16,12.6V,V,V,V,V,V,V,-,auto
10,11,-,Not Connceted,17,-,-,-,-,-,-,-,-,-
11,12,-,Not Connceted,18,-,-,-,-,-,-,-,-,-
12,13,-,Not Connceted,19,-,-,-,-,-,-,-,-,-
13,14,18513,Connceted,20,12.7V,V,V,V,V,V,V,-,auto
14,15,949,Connceted,21,14.7V,V,V,V,224V,234V,235V,-,auto
15,16,-,Not Connceted,22,-,-,-,-,-,-,-,-,-
16,17,2686,Connceted,23,12.5V,V,V,V,V,V,V,WARNING : Service Request,auto
17,18,28462,Connceted,24,13V,V,V,V,V,V,V,-,auto
18,19,4443,Connceted,25,13.6V,221V,220V,220V,V,V,V,-,auto
19,20,4500,Connceted,26,13.7V,204V,222V,226V,V,V,V,-,auto
20,21,3697,Connceted,27,13.1V,V,V,V,V,V,V,-,stop
21,22,1489,Connceted,28,12.6V,V,V,V,V,V,V,-,auto
22,23,3481,Connceted,29,13.8V,241V,243V,243V,V,V,V,SHUTDOWN ALARM: Genset Low Voltage,auto
23,24,4220,Connceted,30,13.1V,V,V,V,V,V,V,WARNING : Service Request,auto
24,25,37395,Connceted,31,13.7V,238V,237V,240V,V,V,V,-,auto
25,26,49989,Connceted,32,14.5V,28V,27V,24V,216V,226V,221V,-,auto
26,27,1524,Connceted,33,13.8V,218V,221V,221V,V,V,V,-,auto
27,28,1895,Connceted,34,13.4V,236V,236V,235V,V,V,V,-,auto
28,29,616,Connceted,36,12.8V,V,V,V,V,V,V,-,auto
29,30,1204,Connceted,37,14.6V,116V,116V,116V,231V,234V,233V,-,auto
30,31,3046,Connceted,38,14.4V,2V,V,V,232V,229V,219V,-,auto
31,32,1635,Connceted,39,12.8V,221V,229V,226V,V,V,V,-,auto
32,33,465,Connceted,41,14.6V,V,V,V,231V,228V,228V,-,auto
33,34,19819,Connceted,42,14.8V,47V,42V,41V,227,239V,235V,WARNING : Service Request,auto
34,35,21741,Connceted,43,13.5V,222V,222V,222V,V,V,V,-,auto
35,36,1423,Connceted,44,12.5V,V,V,V,V,V,V,WARNING : Service Request,stop
36,37,10871,Connceted,45,14.6V,V,V,V,230V,234V,232V,-,auto
37,38,155,Connceted,46,13.8V,241V,241V,241V,V,V,V,-,auto
38,39,7525,Connceted,48,12.8V,V,V,V,V,V,V,-,auto
39,40,-,Not Connceted,49,-,-,-,-,-,-,-,-,-
40,41,-,Not Connceted,53,-,-,-,-,-,-,-,-,-
41,42,26695,Connceted,54,14.7V,V,V,V,233V,233V,236V,-,auto
42,43,-,Not Connceted,55,-,-,-,-,-,-,-,-,-
43,44,408,Connceted,56,14.6V,V,V,V,232V,232V,233V,-,auto
44,45,213,Connceted,57,13.7V,199V,229V,229V,V,V,V,-,stop
45,46,758,Connceted,58,13.6V,212V,206V,212V,V,V,V,-,auto
46,47,16682,Connceted,61,13.3V,216V,216V,224V,V,V,V,SHUTDOWN ALARM: Fail to Start,auto
47,48,455,Connceted,62,13.8V,206V,206V,206V,V,V,V,-,stop
48,49,1105,Connceted,73,13.6V,217V,211V,236V,V,V,V,"WARNING : Genset Low Frequency
SHUTDOWN ALARM: Low Oil Press. Sender",auto
49,50,-,Not Connceted,74,-,-,-,-,-,-,-,-,-
50,51,413,Connceted,107,12.8V,V,V,V,V,V,V,-,auto
51,52,63,Connceted,106,13.2V,230V,233V,231V,V,V,V,-,auto
