,Number/Click,Time,Connection Status,COM,Voltage,City_Volt_1,City_Volt_2,City_Volt_3,Gen_Volt_1,Gen_Volt_2,Gen_Volt_3,Alarm,Condition,Remarks,COMName,RemoteIP
0,1,-,Connceted,2,-,-,-,-,-,-,-,-,-,SJVH_Khando,2,10.170.0.54
1,2,1707,Connceted,5,12.7V,V,V,V,V,V,V,WARNING : Service Request,auto,KAKH_Shuamta,5,10.170.2.149
2,3,-,Not Connceted,8,-,-,-,-,-,-,-,-,-,KAKH_Davit_Gareji,8,10.170.1.12
3,4,2723,Connceted,9,14.3V,V,V,V,230V,232V,225V,-,auto,ADJR_Keda_TV,9,10.170.10.15
4,5,574,Connceted,10,12.8V,V,V,V,V,V,V,-,auto,SJVH_Tskhratskaro,10,10.170.0.139
5,6,2463,Connceted,12,13.8V,220V,226V,225V,V,V,V,-,auto,IMRT_Boriti,12,10.170.12.28
6,7,1601,Connceted,13,12.7V,V,V,V,V,V,V,-,auto,GURI_Nabeghlavi,13,10.170.11.12
7,8,-,Not Connceted,14,-,-,-,-,-,-,-,-,-,KRTL_Irganchai,14,10.170.3.109
8,9,2839,Connceted,15,12.8V,V,V,V,V,V,V,-,auto,KRTL_Angrevani,15,10.170.3.22
9,10,15275,Connceted,16,12.8V,V,V,V,V,V,V,-,auto,MSTN_Magaroskari,16,10.170.5.104
10,11,-,Not Connceted,17,-,-,-,-,-,-,-,-,-,ADJR_Shuakhevi_TV,17,10.170.10.37
11,12,8835,Connceted,19,13.6V,203V,203V,203V,V,V,V,-,auto,SJVH_Borjomi_TV,19,10.170.0.137
12,13,19152,Connceted,20,12.8V,V,V,V,V,V,V,-,auto,SJVH_Kartsakhi,20,10.170.0.97
13,14,772,Connceted,21,12.7V,V,V,V,V,V,V,-,auto,SJVH_Mamtsvara,21,10.170.0.90
14,15,-,Not Connceted,22,-,-,-,-,-,-,-,-,-,SJVH_Efremovka,22,10.170.0.80
15,16,3338,Connceted,23,14.4V,20V,15V,17V,228V,229V,230V,-,auto,MSTN_Sioni,23,10.170.2.132
16,17,424,Connceted,24,12.9V,V,V,V,V,V,V,-,auto,MSTN_Khevsurtsopeli,24,10.170.5.110
17,18,4454,Connceted,25,13.6V,219V,219V,219V,V,V,V,-,auto,KRTL_Rekha,25,10.170.3.103
18,19,4627,Connceted,26,13.7V,227,218V,218V,V,V,V,-,auto,KRTL_Tsalka,26,10.170.3.107
19,20,4272,Connceted,27,13.3V,V,V,V,V,V,V,-,auto,KRTL_Bediani_Kldisi,27,10.170.3.12
20,21,2379,Connceted,28,14.3V,V,V,V,217V,218V,218V,-,auto,KRTL_Tsopi,28,10.170.3.101
