,Number/Click,Time,Connection Status,COM,Voltage,City_Volt_1,City_Volt_2,City_Volt_3,Gen_Volt_1,Gen_Volt_2,Gen_Volt_3,Alarm,Condition
0,1,-,Connceted,2,-,-,-,-,-,-,-,-,-
1,2,1239,Connceted,5,14.5V,9V,V,V,231V,231V,232V,-,auto
2,3,-,Not Connceted,8,-,-,-,-,-,-,-,-,-
3,4,1937,Connceted,9,14.3V,V,V,V,233V,227V,230V,WARNING : Service Request,auto
4,5,230,Connceted,10,12.7V,V,V,V,V,V,V,-,auto
5,6,2422,Connceted,12,13.9V,225V,226V,228V,V,V,V,-,auto
6,7,1071,Connceted,13,12.7V,V,V,V,V,V,V,-,auto
7,8,-,Not Connceted,14,-,-,-,-,-,-,-,-,-
8,9,2247,Connceted,15,12.8V,V,V,V,V,V,V,WARNING : Service Request,auto
9,10,14854,Connceted,16,12.8V,V,V,V,V,V,V,-,auto
10,11,-,Not Connceted,17,-,-,-,-,-,-,-,-,-
11,12,8830,Connceted,19,13.6V,210V,210V,210V,V,V,V,-,auto
12,13,18618,Connceted,20,12.8V,V,V,V,V,V,V,-,auto
13,14,73,Connceted,21,14.5V,V,V,V,228V,229V,228V,-,auto
14,15,-,Not Connceted,22,-,-,-,-,-,-,-,-,-
15,16,2765,Connceted,23,12.7V,V,V,V,V,V,V,-,auto
16,17,28580,Connceted,24,12.9V,V,V,V,V,V,V,-,auto
17,18,4447,Connceted,25,13.6V,220V,220V,220V,V,V,V,-,auto
18,19,4501,Connceted,26,13.7V,206V,210V,227V,V,V,V,-,auto
19,20,3789,Connceted,27,13.3V,V,V,V,V,V,V,-,auto
20,21,1617,Connceted,28,13.5V,V,V,V,V,V,V,ISHUTDOWN ALARM: Low Oil Press. Sender,auto
21,22,3481,Connceted,29,13.8V,242,244V,246V,V,V,V,-,auto
22,23,4349,Connceted,30,13V,V,V,V,V,V,V,WARNING : Service Request,auto
23,24,37395,Connceted,31,13.7V,239V,238V,241V,V,V,V,-,auto
24,25,50115,Connceted,32,14.4V,26V,26V,23V,216V,225V,221V,-,auto
25,26,1524,Connceted,33,13.8V,223V,226V,226V,V,V,V,-,auto
26,27,1931,Connceted,34,13.4V,220V,219V,219V,V,V,V,WARNING : Low Oil Press. Sender,auto
27,28,767,Connceted,36,14.4V,V,V,6V,231V,232V,230V,-,auto
28,29,1253,Connceted,37,13.5V,224V,224V,224V,V,V,V,-,auto
29,30,3195,Connceted,38,12.9V,V,V,V,V,V,V,-,auto
30,31,1638,Connceted,39,13.6V,218V,223V,225V,V,V,V,-,auto
31,32,552,Connceted,41,13.8V,220V,220V,220V,V,V,V,-,auto
32,33,19930,Connceted,42,12.9V,V,V,V,V,V,V,-,auto
33,34,21741,Connceted,43,13.5V,215V,215V,215V,V,V,V,-,auto
34,35,-,Not Connceted,44,-,-,-,-,-,-,-,-,-
35,36,11009,Connceted,45,12.8V,V,V,V,V,V,V,-,auto
36,37,158,Connceted,46,14.4V,240V,240V,235V,V,V,V,-,auto
37,38,7633,Connceted,48,14.3V,V,7V,8V,224V,237V,233V,-,auto
38,39,-,Not Connceted,49,-,-,-,-,-,-,-,-,-
39,40,-,Not Connceted,53,-,-,-,-,-,-,-,-,-
40,41,-,Not Connceted,54,-,-,-,-,-,-,-,-,-
41,42,-,Not Connceted,55,-,-,-,-,-,-,-,-,-
42,43,445,Connceted,56,11.3V,220V,220V,220V,V,V,V,-,stop
43,44,213,Connceted,57,13.7V,194V,224V,224V,V,V,V,-,auto
44,45,760,Connceted,58,13.6V,232V,220V,231V,V,V,V,-,auto
45,46,16682,Connceted,61,13.3V,219V,219V,225V,V,V,V,SHUTDOWN ALARM: Fail to Start,auto
46,47,455,Connceted,62,13.8V,206V,206V,206V,V,V,V,-,stop
47,48,1105,Connceted,73,13.5V,213V,226V,228V,V,V,V,SHUTDOWN ALARM: Fail to Start,auto
48,49,33825,Connceted,74,13.1V,V,V,V,V,V,V,-,auto
49,50,13,Connceted,107,13.7V,247,246V,243V,V,V,V,-,auto
50,51,71,Connceted,106,13.1V,229V,232V,231V,V,V,V,-,auto
51,52,-,Not Connceted,104,-,-,-,-,-,-,-,-,-
52,53,-,Not Connceted,105,-,-,-,-,-,-,-,-,-
53,54,1,Connceted,103,13.8V,236V,236V,205V,V,V,V,-,auto
54,55,332,Connceted,102,13.7V,240V,239V,238V,V,V,V,-,auto
55,56,-,Not Connceted,91,-,-,-,-,-,-,-,-,-
56,57,6166,Connceted,101,13.7V,223V,229V,230V,V,V,V,-,auto
57,58,10839,Connceted,100,13.7V,232V,227V,230V,V,V,V,-,auto
58,59,-,Not Connceted,99,-,-,-,-,-,-,-,-,-
59,60,23673,Connceted,98,13.3V,210V,215V,212V,V,V,V,-,auto
60,61,45,Connceted,97,13.8V,239V,185V,185V,V,V,V,|SHUTDOWN ALARM: Low Oil Press. Switch,auto
61,62,1,Connceted,94,13.9V,219V,220V,216V,V,V,V,-,auto
62,63,2801,Connceted,50,13.6V,220V,222V,222V,V,V,V,WARNING : Service Request,auto
63,64,635,Connceted,51,14.2V,V,V,V,229V,234V,233V,WARNING : Service Request,auto
64,65,854,Connceted,93,13.8V,206V,224V,220V,V,V,V,-,auto
65,66,-,Not Connceted,92,-,-,-,-,-,-,-,-,-
66,67,-,Not Connceted,47,-,-,-,-,-,-,-,-,-
67,68,1307,Connceted,59,13.6V,234V,232V,224V,V,V,V,WARNING : Service Request,auto
68,69,21171,Connceted,60,14.3V,5V,V,V,235V,226V,229V,-,auto
69,70,9445,Connceted,52,13.8V,221V,221V,249V,V,V,V,WARNING : Service Request,auto
70,71,11127,Connceted,1,13.6V,214V,221V,214V,V,V,V,-,auto
71,72,2916,Connceted,3,14.5V,V,V,V,229V,230V,228V,-,auto
