,Number/Click,Time,Connection Status,COM,Voltage,City_Volt_1,City_Volt_2,City_Volt_3,Gen_Volt_1,Gen_Volt_2,Gen_Volt_3,Alarm,Condition
0,1,-,Connceted,2,-,-,-,-,-,-,-,-,-
1,2,1319,Connceted,5,12.9V,V,V,V,V,V,V,-,auto
2,3,-,Not Connceted,8,-,-,-,-,-,-,-,-,-
3,4,2076,Connceted,9,14.3V,V,V,V,233V,226V,231V,WARNING : Service Request,auto
4,5,309,Connceted,10,12.7V,V,V,V,V,V,V,WARNING : Service Request,auto
5,6,2423,Connceted,12,13.9V,226V,235V,211V,V,V,V,-,auto
6,7,1165,Connceted,13,12.6V,V,V,V,V,V,V,-,auto
7,8,-,Not Connceted,14,-,-,-,-,-,-,-,-,-
8,9,2345,Connceted,15,12.8V,V,V,V,V,V,V,-,auto
9,10,14919,Connceted,16,14.4V,7V,V,V,230V,230V,232V,-,auto
10,11,-,Not Connceted,17,-,-,-,-,-,-,-,-,-
11,12,-,Not Connceted,19,-,-,-,-,-,-,-,-,-
12,13,18708,Connceted,20,13.5V,V,V,V,V,V,V,-,auto
13,14,198,Connceted,21,12.8V,V,V,V,V,V,V,-,auto
14,15,-,Not Connceted,22,-,-,-,-,-,-,-,-,-
15,16,2887,Connceted,23,14.4V,20V,15V,16V,230V,231V,230V,-,auto
16,17,28692,Connceted,24,13V,V,V,V,V,V,V,WARNING : Service Request,auto
17,18,4447,Connceted,25,13.6V,222V,222V,222V,V,V,V,-,auto
18,19,4501,Connceted,26,13.7V,214V,224V,223V,V,V,V,-,auto
19,20,3874,Connceted,27,15.2V,V,V,V,225V,237V,229V,-,auto
20,21,1742,Connceted,28,12.7V,V,V,V,V,V,V,-,auto
21,22,3481,Connceted,29,13.8V,245V,248V,249V,V,V,V,SHUTDOWN ALARM: Genset Low Voltage,auto
22,23,4468,Connceted,30,12.9V,V,V,V,V,V,V,WARNING : Service Request,auto
23,24,37395,Connceted,31,13.7V,240V,238V,242V,V,V,V,-,auto
24,25,50233,Connceted,32,12.7V,V,V,V,V,V,V,-,auto
25,26,1524,Connceted,33,13.8V,220V,222V,222V,V,V,V,-,auto
26,27,1932,Connceted,34,13.4V,236V,236V,235V,V,V,V,WARNING : Low Oil Press. Sender,auto
27,28,910,Connceted,36,12.9V,V,V,V,V,V,V,WARNING : Service Request,auto
28,29,1255,Connceted,37,13.6V,212V,212V,212V,V,V,V,-,auto
