,Number/Click,Time,Connection Status,COM,Voltage,City_Volt_1,City_Volt_2,City_Volt_3,Gen_Volt_1,Gen_Volt_2,Gen_Volt_3,Alarm,Condition
0,1,-,Connceted,2,-,-,-,-,-,-,-,-,-
1,2,-,Connceted,5,-,-,-,-,-,-,-,-,-
2,3,17621,Connceted,8,12.9V,V,V,V,V,V,V,-,auto
3,4,-,Connceted,9,-,-,-,-,-,-,-,-,-
4,5,518,Connceted,10,13.2V,V,V,V,V,V,V,WARNING : Low Oil Press. Sender,auto
5,6,2459,Connceted,12,13.8V,222V,226V,227V,V,V,V,-,auto
6,7,1418,Connceted,13,12.9V,V,V,V,V,V,V,-,auto
7,8,-,Not Connceted,14,-,-,-,-,-,-,-,-,-
8,9,2634,Connceted,15,12.8V,V,V,V,V,V,V,WARNING : Service Request,auto
9,10,15111,Connceted,16,12.6V,V,V,V,V,V,V,"WARNING : Service Request
SHUTDOWN ALARM: High Temp. Sender",auto
10,11,-,Not Connceted,17,-,-,-,-,-,-,-,-,-
11,12,8834,Connceted,19,13.4V,205V,205V,205V,V,V,V,-,auto
12,13,18942,Connceted,20,12.8V,V,V,V,V,V,V,-,auto
13,14,42,Connceted,21,14.6V,V,V,V,228V,229V,228V,-,auto
14,15,-,Not Connceted,22,-,-,-,-,-,-,-,-,-
15,16,-,Not Connceted,23,-,-,-,-,-,-,-,-,-
16,17,42,Connceted,24,14.6V,V,V,V,228V,229V,228V,-,auto
17,18,4450,Connceted,25,13.6V,227,227V,227V,V,V,V,-,auto
18,19,4627,Connceted,26,13.7V,221V,217V,224V,V,V,V,-,auto
19,20,4100,Connceted,27,13.5V,V,V,V,V,V,V,-,auto
20,21,2107,Connceted,28,14.4V,V,V,V,217V,219V,219V,-,test
21,22,3489,Connceted,29,13.8V,242,244V,246V,V,V,V,-,auto
22,23,-,Not Connceted,30,-,-,-,-,-,-,-,-,-
23,24,37396,Connceted,31,13.7V,239V,237V,240V,V,V,V,-,auto
