,Number/Click,Time,Connection Status,COM,Voltage,City_Volt_1,City_Volt_2,City_Volt_3,Gen_Volt_1,Gen_Volt_2,Gen_Volt_3,Alarm,Condition
0,1,-,Connceted,2,-,-,-,-,-,-,-,-,-
1,2,1444,Connceted,5,13.2V,V,V,V,V,V,V,-,auto
2,3,17560,Connceted,8,13V,V,V,V,V,V,V,WARNING : Service Request,auto
3,4,2273,Connceted,9,14.3V,V,V,V,233V,227V,231V,WARNING : Service Request,auto
4,5,421,Connceted,10,12.8V,V,V,V,V,V,V,WARNING : Service Request,auto
5,6,2458,Connceted,12,13.9V,226V,224V,226V,V,V,V,-,auto
6,7,1300,Connceted,13,14.5V,26V,26V,26V,231V,234V,240V,-,auto
7,8,-,Not Connceted,14,-,-,-,-,-,-,-,-,-
8,9,2503,Connceted,15,12.8V,V,V,V,V,V,V,-,auto
9,10,15026,Connceted,16,13.1V,V,V,V,V,V,V,-,auto
10,11,-,Not Connceted,17,-,-,-,-,-,-,-,-,-
11,12,8833,Connceted,19,13.5V,210V,209V,209V,V,V,V,-,auto
12,13,-,Connceted,20,-,-,-,-,-,-,-,-,-
13,14,384,Connceted,21,12.6V,V,V,V,V,V,V,WARNING : Service Request,auto
14,15,-,Not Connceted,22,-,-,-,-,-,-,-,-,-
15,16,3030,Connceted,23,14.4V,19V,15V,16V,229V,230V,231V,-,auto
16,17,59,Connceted,24,12.9V,V,V,V,V,V,V,-,auto
17,18,4447,Connceted,25,13.6V,219V,219V,219V,V,V,V,-,auto
18,19,4627,Connceted,26,13.7V,226V,217V,224V,V,V,V,-,auto
19,20,3993,Connceted,27,13.1V,V,V,V,V,V,V,-,stop
20,21,1929,Connceted,28,14.4V,V,V,V,218V,224V,235V,WARNING : Service Request,auto
21,22,3482,Connceted,29,13.8V,243V,245V,247V,V,V,V,-,auto
22,23,4637,Connceted,30,12.8V,V,V,V,V,V,V,WARNING : High Temp. Sender,auto
23,24,37395,Connceted,31,13.7V,239V,237V,240V,V,V,V,-,auto
24,25,50406,Connceted,32,14.3V,27V,27V,24V,217V,225V,220V,-,auto
25,26,1526,Connceted,33,13.8V,218V,220V,221V,V,V,V,-,auto
26,27,1958,Connceted,34,13.4V,239V,239V,238V,V,V,V,-,auto
27,28,1115,Connceted,36,13.2V,V,V,V,V,V,V,-,auto
28,29,1255,Connceted,37,13.6V,222V,223V,223V,V,V,V,-,auto
29,30,3521,Connceted,38,14.4V,2V,V,V,232V,231V,224V,-,auto
30,31,1658,Connceted,39,13.6V,216V,224V,223V,V,V,V,-,auto
31,32,575,Connceted,41,13.8V,231V,231V,231V,V,V,V,-,auto
32,33,20156,Connceted,42,14.7V,47V,42V,40V,228V,237V,234V,-,auto
33,34,-,Not Connceted,43,-,-,-,-,-,-,-,-,-
34,35,-,Not Connceted,44,-,-,-,-,-,-,-,-,-
35,36,11295,Connceted,45,12.9V,V,V,V,V,V,V,-,auto
36,37,192,Connceted,46,13.8V,240V,240V,240V,V,V,V,-,auto
37,38,7879,Connceted,48,14.2V,V,6V,7V,225V,235V,233V,-,auto
38,39,-,Not Connceted,49,-,-,-,-,-,-,-,-,-
39,40,26698,Connceted,54,13.5V,221V,214V,214V,V,V,V,-,auto
40,41,-,Not Connceted,55,-,-,-,-,-,-,-,-,-
41,42,26698,Connceted,56,13.5V,222V,214V,214V,V,V,V,-,auto
42,43,219,Connceted,57,13.7V,201V,228V,228V,V,V,V,-,auto
43,44,763,Connceted,58,13.6V,215V,204V,215V,V,V,V,-,auto
