,Number/Click,Time,Connection Status,COM,Voltage,City_Volt_1,City_Volt_2,City_Volt_3,Gen_Volt_1,Gen_Volt_2,Gen_Volt_3,Alarm,Condition
0,1,-,Connceted,2,-,-,-,-,-,-,-,-,-
1,2,1536,Connceted,5,12.9V,V,V,V,V,V,V,-,auto
2,3,17625,Connceted,8,12.8V,V,V,V,V,V,V,-,auto
3,4,-,Connceted,9,-,-,-,-,-,-,-,-,-
4,5,24,Connceted,10,14.6V,5V,V,V,232V,231V,233V,-,auto
5,6,2459,Connceted,12,13.8V,225V,230V,230V,V,V,V,-,auto
6,7,1426,Connceted,13,14.5V,26V,26V,25V,232V,233V,240V,-,auto
7,8,-,Not Connceted,14,-,-,-,-,-,-,-,-,-
8,9,2644,Connceted,15,12.8V,V,V,V,V,V,V,WARNING : Service Request,auto
9,10,-,Not Connceted,16,-,-,-,-,-,-,-,-,-
10,11,-,Not Connceted,17,-,-,-,-,-,-,-,-,-
11,12,8834,Connceted,19,13.6V,212V,212V,212V,V,V,V,-,auto
12,13,18951,Connceted,20,13V,V,V,V,V,V,V,-,auto
13,14,551,Connceted,21,14.6V,V,V,V,227,227V,229V,-,auto
14,15,-,Not Connceted,22,-,-,-,-,-,-,-,-,-
15,16,-,Not Connceted,23,-,-,-,-,-,-,-,-,-
16,17,551,Connceted,24,14.6V,V,V,V,227,227V,229V,-,auto
17,18,4450,Connceted,25,13.6V,219V,219V,219V,V,V,V,-,auto
18,19,4627,Connceted,26,13.7V,220V,225V,220V,V,V,V,-,auto
19,20,-,Connceted,27,-,-,-,-,-,-,-,-,-
20,21,2131,Connceted,28,14.3V,V,V,V,218V,219V,219V,-,auto
21,22,3489,Connceted,29,13.8V,242,244V,245V,V,V,V,-,auto
22,23,-,Not Connceted,30,-,-,-,-,-,-,-,-,-
23,24,37397,Connceted,31,13.7V,239V,238V,241V,V,V,V,-,auto
24,25,50560,Connceted,32,14.4V,9V,10V,7V,222,223V,223V,-,auto
25,26,1526,Connceted,33,13.8V,218V,221V,221V,V,V,V,-,auto
26,27,1964,Connceted,34,13.4V,242,242V,241V,V,V,V,WARNING : Low Oil Press. Sender,auto
27,28,1299,Connceted,36,12.9V,V,V,V,V,V,V,WARNING : Service Request,auto
28,29,1256,Connceted,37,13.6V,210V,210V,210V,V,V,V,-,auto
29,30,3689,Connceted,38,12.8V,V,V,V,V,V,V,-,auto
30,31,1665,Connceted,39,13.6V,216V,227V,226V,V,V,V,-,auto
31,32,576,Connceted,41,13.8V,228V,228V,228V,V,V,V,-,auto
32,33,20267,Connceted,42,12.7V,V,V,V,V,V,V,-,auto
33,34,-,Not Connceted,43,-,-,-,-,-,-,-,-,-
34,35,-,Not Connceted,44,-,-,-,-,-,-,-,-,-
35,36,11437,Connceted,45,14.6V,V,V,V,232V,232V,234V,-,auto
36,37,196,Connceted,46,13.8V,240V,240V,240V,V,V,V,-,auto
37,38,7997,Connceted,48,13V,V,V,V,V,V,V,-,auto
38,39,-,Not Connceted,49,-,-,-,-,-,-,-,-,-
39,40,26698,Connceted,54,13.5V,221V,213V,214V,V,V,V,-,auto
40,41,-,Not Connceted,55,-,-,-,-,-,-,-,-,-
41,42,459,Connceted,56,13.9V,223V,223V,223V,V,V,V,-,auto
42,43,220,Connceted,57,13.7V,197V,227V,227V,V,V,V,-,auto
43,44,766,Connceted,58,13.6V,222V,214V,221V,V,V,V,-,auto
44,45,-,Not Connceted,80,-,-,-,-,-,-,-,-,-
45,46,-,Not Connceted,95,-,-,-,-,-,-,-,-,-
46,47,5086,Connceted,124,13.5V,234V,227V,237V,V,V,V,-,auto
47,48,-,Not Connceted,35,-,-,-,-,-,-,-,-,-
48,49,1144,Connceted,120,13.7V,210V,210V,209V,V,V,V,-,auto
49,50,-,Not Connceted,81,-,-,-,-,-,-,-,-,-
50,51,-,Not Connceted,40,-,-,-,-,-,-,-,-,-
51,52,-,Not Connceted,6,-,-,-,-,-,-,-,-,-
52,53,-,Not Connceted,88,-,-,-,-,-,-,-,-,-
53,54,9475,Connceted,152,13.7V,233V,234V,230V,V,V,V,-,auto
54,55,5295,Connceted,150,13.6V,208V,214V,214V,V,V,V,-,auto
55,56,18777,Connceted,151,13.6V,220V,228V,215V,V,V,V,-,auto
56,57,1153,Connceted,148,13.7V,233V,235V,231V,V,V,V,-,auto
57,58,1457,Connceted,149,13.7V,230V,229V,230V,V,V,V,-,auto
58,59,6,Connceted,146,13.3V,234V,234V,234V,V,V,V,-,auto
59,60,2163,Connceted,147,13.7V,245V,245V,245V,V,V,V,WARNING : Service Request,auto
60,61,614,Connceted,145,13.6V,244,233V,243V,V,V,V,-,auto
61,62,71,Connceted,144,13.8V,217V,232V,216V,V,V,V,-,auto
62,63,197,Connceted,141,13.4V,222V,222V,222V,V,V,V,-,stop
63,64,8428,Connceted,143,13.4V,222V,217V,216V,V,V,V,-,auto
64,65,-,Not Connceted,142,-,-,-,-,-,-,-,-,-
65,66,383,Connceted,140,13.5V,224V,228V,225V,V,V,V,-,auto
66,67,35,Connceted,139,13.2V,228V,227V,228V,V,V,V,-,auto
67,68,2377,Connceted,4,13.5V,214V,213V,213V,V,V,V,-,auto
68,69,-,Not Connceted,138,-,-,-,-,-,-,-,-,-
69,70,-,Not Connceted,136,-,-,-,-,-,-,-,-,-
70,71,1933,Connceted,137,13.7V,232V,231V,231V,V,V,V,WARNING : Service Request,auto
71,72,194,Connceted,133,13.1V,243V,243V,243V,V,V,V,-,auto
72,73,123,Connceted,131,13.8V,223V,223V,224V,V,V,V,-,auto
73,74,-,Connceted,135,-,-,-,-,-,-,-,-,-
74,75,-,Not Connceted,132,-,-,-,-,-,-,-,-,-
75,76,-,Not Connceted,129,-,-,-,-,-,-,-,-,-
76,77,-,Not Connceted,134,-,-,-,-,-,-,-,-,-
77,78,156,Connceted,130,13.7V,218V,218V,218V,V,V,V,-,auto
78,79,217,Connceted,128,13.6V,227,235V,219V,V,V,V,-,auto
79,80,2372,Connceted,126,13.9V,207V,207V,207V,V,V,V,-,auto
80,81,157,Connceted,127,13.4V,224V,221V,247V,V,V,V,-,auto
81,82,4334,Connceted,125,13.6V,220V,220V,220V,V,V,V,-,auto
82,83,68,Connceted,121,13.3V,237V,211V,228V,V,V,V,-,stop
83,84,106,Connceted,123,13.7V,229V,235V,235V,V,V,V,WARNING : Genset High Frequency,auto
84,85,-,Connceted,122,-,-,-,-,-,-,-,-,-
85,86,2569,Connceted,119,13.4V,211V,217V,210V,V,V,V,-,auto
86,87,239,Connceted,118,13.5V,209V,209V,182V,V,V,V,-,auto
87,88,1681,Connceted,116,13.8V,238V,247V,233V,V,V,V,-,auto
88,89,-,Connceted,113,-,-,-,-,-,-,-,-,-
89,90,36,Connceted,117,13.7V,219V,206V,245V,V,V,V,-,auto
90,91,22843,Connceted,115,13.7V,222V,229V,234V,V,V,V,"WARNING : Genset Low Frequency
‘SHUTDOWN ALARM: Low Oil Press. Sender",auto
91,92,1812,Connceted,114,13.7V,233V,238V,242V,V,V,V,-,auto
92,93,25,Connceted,112,13.5V,240V,223V,249V,V,V,V,-,auto
93,94,34,Connceted,111,13.6V,241V,228V,221V,V,V,V,-,auto
94,95,1411,Connceted,109,13.7V,223V,226V,233V,V,V,V,-,auto
95,96,105,Connceted,110,13.8V,238V,237V,236V,V,V,V,-,auto
96,97,1916,Connceted,77,13.7V,225V,217V,205V,V,V,V,WARNING : Service Request,auto
97,98,1359,Connceted,108,13.2V,225V,223V,225V,V,V,V,-,auto
98,99,-,Not Connceted,75,-,-,-,-,-,-,-,-,-
99,100,1800,Connceted,79,12.6V,V,V,V,V,V,V,WARNING : Service Request,auto
100,101,2712,Connceted,68,13.7V,236V,241V,235V,V,V,V,-,auto
101,102,12,Connceted,65,13.7V,218V,239V,229V,V,V,V,-,auto
102,103,102,Connceted,78,13.8V,216V,227V,227V,V,V,V,-,auto
103,104,27966,Connceted,67,13.5V,246V,244V,244V,V,V,V,-,auto
104,105,-,Not Connceted,63,-,-,-,-,-,-,-,-,-
105,106,1260,Connceted,64,13.8V,223V,225V,225V,V,V,V,-,auto
106,107,-,Not Connceted,66,-,-,-,-,-,-,-,-,-
107,108,938,Connceted,69,13.6V,224V,208V,228V,V,V,V,-,auto
108,109,11805,Connceted,83,13.1V,231V,240V,241V,V,V,V,-,auto
109,110,1004,Connceted,71,14.5V,V,V,V,235V,235V,228V,-,auto
110,111,463,Connceted,70,13.3V,210V,210V,210V,V,V,V,-,auto
111,112,17423,Connceted,84,12.7V,V,V,V,V,V,V,WARNING : Service Request,auto
112,113,1095,Connceted,82,13.7V,231V,229V,229V,V,V,V,-,auto
113,114,7676,Connceted,72,13.3V,218V,230V,193V,V,V,V,WARNING : Service Request,auto
114,115,217,Connceted,86,13.3V,234V,225V,227V,V,V,V,-,auto
115,116,10638,Connceted,11,12.6V,V,V,V,V,V,V,-,auto
116,117,11144,Connceted,1,13.6V,213V,227V,213V,V,V,V,-,auto
117,118,3389,Connceted,3,14.5V,V,V,V,230V,231V,228V,-,auto
118,119,9481,Connceted,52,13.8V,216V,216V,248V,V,V,V,WARNING : Service Request,auto
119,120,11671,Connceted,89,13.6V,226V,225V,226V,V,V,V,|SHUTDOWN ALARM: Emergency Stop,stop
120,121,27,Connceted,87,13.6V,215V,203V,203V,V,V,V,-,auto
121,122,21649,Connceted,60,14.3V,V,V,V,235V,226V,229V,-,auto
122,123,1308,Connceted,59,13.6V,231V,230V,225V,V,V,V,WARNING : Service Request,auto
123,124,609,Connceted,76,13.8V,232V,234V,234V,V,V,V,-,auto
124,125,20600,Connceted,7,12.5V,V,V,V,V,V,V,|SHUTDOWN ALARM: Emergency Stop,stop
125,126,-,Not Connceted,92,-,-,-,-,-,-,-,-,-
126,127,2829,Connceted,50,13.6V,220V,223V,223V,V,V,V,WARNING : Service Request,auto
127,128,860,Connceted,93,13.8V,214V,220V,213V,V,V,V,-,auto
128,129,639,Connceted,51,13.7V,225V,219V,239V,V,V,V,WARNING : Service Request,auto
129,130,-,Not Connceted,47,-,-,-,-,-,-,-,-,-
130,131,60,Connceted,97,13.9V,239V,198V,198V,V,V,V,-,stop
131,132,10,Connceted,94,13.9V,219V,219V,216V,V,V,V,-,auto
132,133,23700,Connceted,98,13.3V,217V,221V,223V,V,V,V,-,auto
133,134,1184,Connceted,99,13.8V,228V,227V,218V,V,V,V,WARNING : Service Request,auto
134,135,10844,Connceted,100,13.7V,233V,232V,231V,V,V,V,-,auto
135,136,6166,Connceted,101,13.8V,222V,229V,230V,V,V,V,-,auto
136,137,959,Connceted,91,13.5V,234V,236V,245V,V,V,V,-,auto
137,138,442,Connceted,102,13.7V,242,242V,240V,V,V,V,-,auto
138,139,0,Connceted,103,13.7V,197V,196V,239V,V,V,V,-,auto
139,140,150,Connceted,105,13.5V,203V,203V,203V,V,V,V,-,auto
140,141,34241,Connceted,74,13.2V,V,V,V,V,V,V,WARNING : Service Request,auto
141,142,-,Not Connceted,104,-,-,-,-,-,-,-,-,-
142,143,72,Connceted,106,13.1V,229V,232V,230V,V,V,V,-,auto
143,144,1133,Connceted,73,13.5V,222V,208V,233V,V,V,V,-,auto
144,145,-,Not Connceted,62,-,-,-,-,-,-,-,-,-
145,146,17,Connceted,107,13.7V,248V,249V,247V,V,V,V,-,auto
146,147,16682,Connceted,61,13.3V,219V,218V,224V,V,V,V,SHUTDOWN ALARM: Fail to Start,stop
147,148,928,Connceted,53,13.8V,209V,209V,209V,V,V,V,-,auto
148,149,5888,Connceted,85,13.6V,242,234V,244V,V,V,V,-,auto
149,150,244,Connceted,90,13.8V,218V,218V,217V,V,V,V,-,auto
150,151,27,Connceted,96,13.7V,225V,216V,225V,V,V,V,-,auto
151,152,4845,Connceted,157,13.7V,220V,221V,221V,V,V,V,-,auto
152,153,-,Not Connceted,18,-,-,-,-,-,-,-,-,-
153,154,7117,Connceted,155,13.5V,218V,249V,233V,V,V,V,-,auto
154,155,296,Connceted,156,13.3V,203V,203V,234V,V,V,V,-,auto
155,156,176,Connceted,153,13.7V,229V,227V,226V,V,V,V,-,auto
156,157,-,Connceted,154,-,-,-,-,-,-,-,-,-
