,Number/Click,Time,Connection Status,COM,Voltage,City_Volt_1,City_Volt_2,City_Volt_3,Gen_Volt_1,Gen_Volt_2,Gen_Volt_3,Alarm,Condition
0,1,-,Connceted,2,-,-,-,-,-,-,-,-,-
1,2,-,Connceted,5,-,-,-,-,-,-,-,-,-
2,3,17578,Connceted,8,12.9V,V,V,V,V,V,V,-,auto
3,4,-,Not Connceted,9,-,-,-,-,-,-,-,-,-
4,5,457,Connceted,10,12.9V,V,V,V,V,V,V,WARNING : Service Request,auto
5,6,2459,Connceted,12,13.8V,225V,229V,221V,V,V,V,-,auto
6,7,1347,Connceted,13,13.7V,V,V,V,V,V,V,-,auto
7,8,-,Not Connceted,14,-,-,-,-,-,-,-,-,-
8,9,-,Not Connceted,15,-,-,-,-,-,-,-,-,-
9,10,1347,Connceted,16,13V,V,V,V,V,V,V,-,auto
10,11,-,Not Connceted,17,-,-,-,-,-,-,-,-,-
11,12,8834,Connceted,19,13.5V,208V,208V,208V,V,V,V,-,auto
12,13,-,Connceted,20,-,-,-,-,-,-,-,-,-
13,14,445,Connceted,21,13V,V,V,V,V,V,V,-,auto
14,15,-,Not Connceted,22,-,-,-,-,-,-,-,-,-
15,16,-,Not Connceted,23,-,-,-,-,-,-,-,-,-
16,17,109,Connceted,24,12.8V,V,V,V,V,V,V,-,auto
17,18,4447,Connceted,25,13.6V,219V,219V,219V,V,V,V,-,auto
18,19,4627,Connceted,26,13.7V,223V,221V,219V,V,V,V,-,auto
19,20,4031,Connceted,27,15.1V,V,V,V,226V,235V,227V,-,auto
20,21,-,Connceted,28,-,-,-,-,-,-,-,-,-
21,22,3482,Connceted,29,13.8V,244,246V,248V,V,V,V,-,auto
22,23,4693,Connceted,30,12.8V,V,V,V,V,V,V,-,auto
23,24,37396,Connceted,31,13.7V,240V,239V,241V,V,V,V,-,auto
24,25,50458,Connceted,32,12.7V,V,V,V,V,V,V,-,auto
25,26,-,Connceted,33,-,-,-,-,-,-,-,-,-
