,Number/Click,Time,Connection Status,COM,Voltage,City_Volt_1,City_Volt_2,City_Volt_3,Gen_Volt_1,Gen_Volt_2,Gen_Volt_3,Alarm,Condition
0,1,-,Connceted,2,-,-,-,-,-,-,-,-,-
1,2,1401,Connceted,5,12.9V,V,V,V,V,V,V,-,auto
2,3,17533,Connceted,8,14.5V,5V,V,5V,239V,235V,230V,-,auto
3,4,2211,Connceted,9,12.9V,V,V,V,V,V,V,WARNING : Service Request,auto
4,5,384,Connceted,10,12.7V,V,V,V,V,V,V,WARNING : Service Request,auto
5,6,2458,Connceted,12,13.9V,224V,222V,225V,V,V,V,-,auto
6,7,1256,Connceted,13,13.1V,V,V,V,V,V,V,-,auto
7,8,-,Not Connceted,14,-,-,-,-,-,-,-,-,-
8,9,2449,Connceted,15,12.9V,V,V,V,V,V,V,-,auto
9,10,14993,Connceted,16,14.5V,6V,V,V,231V,231V,233V,-,auto
10,11,-,Not Connceted,17,-,-,-,-,-,-,-,-,-
11,12,8831,Connceted,19,13.6V,213V,213V,213V,V,V,V,-,auto
12,13,-,Connceted,20,-,-,-,-,-,-,-,-,-
13,14,326,Connceted,21,14.5V,V,V,V,227,229V,229V,WARNING : Service Request,auto
14,15,-,Not Connceted,22,-,-,-,-,-,-,-,-,-
15,16,2984,Connceted,23,12.6V,V,V,V,V,V,V,-,stop
16,17,78,Connceted,24,12.7V,V,V,V,V,V,V,-,auto
17,18,4447,Connceted,25,13.6V,219V,219V,219V,V,V,V,-,auto
18,19,4625,Connceted,26,13.6V,246V,4V,253V,232V,233V,228V,-,auto
19,20,3956,Connceted,27,15.2V,V,V,V,226V,236V,229V,-,auto
20,21,1869,Connceted,28,12.6V,V,V,V,V,V,V,WARNING : Service Request,auto
21,22,3482,Connceted,29,13.8V,243V,245V,246V,V,V,V,-,auto
22,23,4587,Connceted,30,14.5V,V,V,V,235V,228V,230V,WARNING : Service Request,auto
23,24,37395,Connceted,31,13.7V,238V,236V,240V,V,V,V,-,auto
24,25,50351,Connceted,32,12.7V,V,V,V,V,V,V,WARNING : Service Request,auto
25,26,1526,Connceted,33,13.8V,217V,220V,220V,V,V,V,-,auto
26,27,1958,Connceted,34,13.4V,228V,228V,227V,V,V,V,WARNING : Low Oil Press. Sender,auto
27,28,1051,Connceted,36,14.4V,V,V,7V,231V,232V,230V,-,auto
28,29,1255,Connceted,37,13.6V,218V,219V,218V,V,V,V,-,auto
29,30,3454,Connceted,38,12.7V,V,V,V,V,V,V,WARNING : Service Request,auto
30,31,1652,Connceted,39,13.6V,214V,230V,220V,V,V,V,-,auto
31,32,575,Connceted,41,13.8V,225V,225V,225V,V,V,V,-,auto
32,33,20118,Connceted,42,13V,V,V,V,V,V,V,-,auto
33,34,-,Not Connceted,43,-,-,-,-,-,-,-,-,-
34,35,-,Not Connceted,44,-,-,-,-,-,-,-,-,-
35,36,11243,Connceted,45,14.5V,V,V,V,228V,234V,228V,-,auto
36,37,187,Connceted,46,14.5V,V,235V,235V,230V,230V,230V,-,auto
37,38,7840,Connceted,48,13.1V,V,V,V,V,V,V,-,auto
38,39,-,Not Connceted,49,-,-,-,-,-,-,-,-,-
39,40,26698,Connceted,54,13.5V,213V,207V,207V,V,V,V,-,auto
40,41,-,Not Connceted,55,-,-,-,-,-,-,-,-,-
41,42,26698,Connceted,56,13.9V,210V,210V,210V,V,V,V,-,auto
42,43,214,Connceted,57,13.7V,197V,228V,228V,V,V,V,-,auto
43,44,763,Connceted,58,13.6V,215V,209V,215V,V,V,V,-,auto
44,45,1818,Connceted,80,13.6V,225V,219V,222V,V,V,V,-,auto
45,46,-,Not Connceted,18,-,-,-,-,-,-,-,-,-
46,47,-,Not Connceted,155,-,-,-,-,-,-,-,-,-
47,48,-,Not Connceted,95,-,-,-,-,-,-,-,-,-
48,49,5083,Connceted,124,13.4V,230V,223V,232V,V,V,V,-,auto
49,50,798,Connceted,35,13.7V,230V,230V,229V,V,V,V,-,auto
50,51,1140,Connceted,120,14.6V,168V,168V,168V,229V,227V,229V,-,auto
51,52,527,Connceted,81,13.8V,212V,214V,209V,V,V,V,-,auto
52,53,1320,Connceted,40,13.5V,214V,220V,215V,V,V,V,-,auto
53,54,1419,Connceted,6,12.9V,V,V,V,V,V,V,-,auto
54,55,14318,Connceted,88,13.8V,204V,204V,203V,V,V,V,WARNING : Service Request,auto
55,56,9475,Connceted,152,13.7V,234V,235V,232V,V,V,V,-,auto
56,57,-,Not Connceted,156,-,-,-,-,-,-,-,-,-
57,58,294,Connceted,150,13.6V,212V,229V,229V,V,V,V,-,auto
58,59,18777,Connceted,151,13.6V,219V,236V,218V,V,V,V,-,auto
59,60,1145,Connceted,148,13.7V,238V,240V,238V,V,V,V,-,auto
60,61,1456,Connceted,149,13.7V,231V,230V,231V,V,V,V,-,auto
61,62,5,Connceted,146,13.3V,242,242V,242V,V,V,V,-,auto
62,63,-,Not Connceted,147,-,-,-,-,-,-,-,-,-
63,64,613,Connceted,145,13.6V,239V,216V,244V,V,V,V,-,auto
64,65,73,Connceted,144,13.8V,221V,235V,217V,V,V,V,-,auto
65,66,-,Not Connceted,141,-,-,-,-,-,-,-,-,-
66,67,8426,Connceted,143,13.5V,221V,220V,217V,V,V,V,-,auto
67,68,516,Connceted,142,12.8V,V,V,V,V,V,V,-,auto
68,69,383,Connceted,140,13.5V,224V,226V,225V,V,V,V,-,auto
69,70,-,Not Connceted,139,-,-,-,-,-,-,-,-,-
70,71,2321,Connceted,4,13.5V,190V,190V,190V,V,V,V,-,auto
71,72,364,Connceted,138,13.6V,235V,235V,239V,V,V,V,-,auto
72,73,10879,Connceted,136,13.5V,215V,215V,215V,V,V,V,-,auto
73,74,-,Not Connceted,137,-,-,-,-,-,-,-,-,-
74,75,178,Connceted,133,13.1V,242,242V,242V,V,V,V,-,auto
75,76,119,Connceted,131,13.8V,221V,223V,224V,V,V,V,-,auto
76,77,-,Connceted,135,-,-,-,-,-,-,-,-,-
77,78,872,Connceted,132,13.6V,225V,219V,236V,V,V,V,-,auto
78,79,17,Connceted,129,13.5V,204V,225V,220V,V,V,V,-,auto
79,80,88,Connceted,134,14.5V,230V,230V,234V,V,V,V,-,auto
80,81,-,Not Connceted,154,-,-,-,-,-,-,-,-,-
81,82,-,Not Connceted,153,-,-,-,-,-,-,-,-,-
82,83,155,Connceted,130,13.7V,220V,220V,220V,V,V,V,-,auto
83,84,217,Connceted,128,13.6V,224V,238V,220V,V,V,V,-,auto
84,85,2361,Connceted,126,14.5V,V,V,V,234V,231V,233V,-,auto
85,86,149,Connceted,127,13.4V,224V,216V,241V,V,V,V,-,auto
86,87,-,Not Connceted,125,-,-,-,-,-,-,-,-,-
87,88,66,Connceted,121,13.3V,237V,211V,228V,V,V,V,-,auto
88,89,103,Connceted,123,13.6V,223V,230V,229V,V,V,V,-,auto
89,90,-,Connceted,122,-,-,-,-,-,-,-,-,-
90,91,2568,Connceted,119,13.4V,207V,212V,207V,V,V,V,-,auto
91,92,236,Connceted,118,13.5V,206V,205V,193V,V,V,V,-,auto
92,93,1659,Connceted,116,13.8V,237V,246V,232V,V,V,V,-,auto
93,94,-,Connceted,113,-,-,-,-,-,-,-,-,-
94,95,33,Connceted,117,13.7V,216V,223V,244V,V,V,V,-,auto
95,96,22815,Connceted,115,13.7V,215V,222V,227V,V,V,V,-,auto
96,97,1811,Connceted,114,13.7V,220V,226V,230V,V,V,V,-,auto
97,98,211,Connceted,112,13.5V,238V,227V,246V,V,V,V,-,auto
98,99,30,Connceted,111,13.6V,240V,222V,212V,V,V,V,-,auto
99,100,-,Not Connceted,109,-,-,-,-,-,-,-,-,-
100,101,99,Connceted,110,13.8V,237V,236V,234V,V,V,V,-,auto
101,102,-,Not Connceted,77,-,-,-,-,-,-,-,-,-
102,103,1344,Connceted,108,13.1V,216V,223V,216V,V,V,V,-,auto
103,104,-,Not Connceted,75,-,-,-,-,-,-,-,-,-
104,105,1535,Connceted,79,14.3V,146V,150V,147V,226V,242V,237V,-,auto
105,106,2709,Connceted,68,13.7V,233V,236V,235V,V,V,V,-,auto
106,107,12,Connceted,65,13.7V,219V,235V,226V,V,V,V,-,auto
107,108,98,Connceted,78,13.8V,212V,212V,212V,V,V,V,-,auto
108,109,27949,Connceted,67,13.4V,247,243V,243V,V,V,V,-,auto
109,110,10371,Connceted,63,12.9V,V,V,V,V,V,V,-,auto
110,111,1249,Connceted,64,13.7V,235V,216V,216V,V,V,V,SHUTDOWN ALARM: Fail to Start,auto
111,112,-,Not Connceted,66,-,-,-,-,-,-,-,-,-
112,113,937,Connceted,69,13.6V,214V,209V,228V,V,V,V,-,auto
113,114,11792,Connceted,83,14.4V,236V,243V,243V,231V,236V,237V,-,test
114,115,983,Connceted,71,13.6V,232V,214V,234V,V,V,V,-,auto
115,116,-,Not Connceted,70,-,-,-,-,-,-,-,-,-
116,117,17173,Connceted,84,12.7V,V,V,V,V,V,V,-,auto
117,118,1087,Connceted,82,13.7V,228V,230V,229V,V,V,V,-,auto
