,Number/Click,Time,Connection Status,COM,Voltage,City_Volt_1,City_Volt_2,City_Volt_3,Gen_Volt_1,Gen_Volt_2,Gen_Volt_3,Alarm,Condition
0,1,-,Connceted,2,-,-,-,-,-,-,-,-,-
1,2,-,Connceted,5,-,-,-,-,-,-,-,-,-
2,3,17566,Connceted,8,13.1V,V,V,V,V,V,V,WARNING : Service Request,auto
3,4,2293,Connceted,9,12.8V,V,V,V,V,V,V,WARNING : Service Request,auto
4,5,433,Connceted,10,12.9V,V,V,V,V,V,V,WARNING : Service Request,auto
5,6,2458,Connceted,12,13.8V,223V,228V,221V,V,V,V,-,auto
6,7,1315,Connceted,13,12.6V,V,V,V,V,V,V,-,auto
7,8,-,Not Connceted,14,-,-,-,-,-,-,-,-,-
8,9,2515,Connceted,15,12.8V,V,V,V,V,V,V,-,auto
9,10,15035,Connceted,16,13.1V,V,V,V,V,V,V,-,auto
10,11,-,Not Connceted,17,-,-,-,-,-,-,-,-,-
11,12,8833,Connceted,19,13.6V,214V,213V,213V,V,V,V,-,auto
12,13,-,Connceted,20,-,-,-,-,-,-,-,-,-
13,14,404,Connceted,21,12.6V,V,V,V,V,V,V,WARNING : Service Request,auto
14,15,-,Not Connceted,22,-,-,-,-,-,-,-,-,-
15,16,3049,Connceted,23,12.8V,V,V,V,V,V,V,-,auto
16,17,-,Connceted,24,-,-,-,-,-,-,-,-,-
17,18,4447,Connceted,25,13.6V,218V,218V,218V,V,V,V,-,auto
18,19,4627,Connceted,26,13.7V,219V,221V,222V,V,V,V,-,auto
19,20,4008,Connceted,27,13.4V,V,V,V,V,V,V,-,auto
20,21,1949,Connceted,28,14.4V,V,V,V,218V,225V,234V,-,auto
21,22,3482,Connceted,29,13.8V,244,247V,247V,V,V,V,-,auto
22,23,4656,Connceted,30,13V,V,V,V,V,V,V,-,auto
23,24,37395,Connceted,31,13.7V,239V,238V,241V,V,V,V,-,auto
