,Number/Click,Time,Connection Status,COM,Voltage,City_Volt_1,City_Volt_2,City_Volt_3,Gen_Volt_1,Gen_Volt_2,Gen_Volt_3,Alarm,Condition
0,1,-,Connceted,2,-,-,-,-,-,-,-,-,-
1,2,1099,Connceted,5,13V,V,V,V,V,V,V,-,auto
2,3,17362,Connceted,8,12.9V,V,V,V,V,V,V,-,auto
3,4,1768,Connceted,9,14.3V,V,V,V,234V,225V,230V,-,auto
4,5,-,Connceted,10,-,-,-,-,-,-,-,-,-
5,6,2310,Connceted,12,13.9V,227,226V,229V,V,V,V,-,auto
6,7,958,Connceted,13,12.9V,V,V,V,V,V,V,-,auto
7,8,-,Not Connceted,14,-,-,-,-,-,-,-,-,-
8,9,2110,Connceted,15,12.8V,V,V,V,V,V,V,-,auto
9,10,14757,Connceted,16,14.1V,6V,V,V,231V,231V,232V,-,auto
10,11,-,Not Connceted,17,-,-,-,-,-,-,-,-,-
11,12,-,Not Connceted,18,-,-,-,-,-,-,-,-,-
12,13,-,Not Connceted,19,-,-,-,-,-,-,-,-,-
13,14,18495,Connceted,20,12.8V,V,V,V,V,V,V,-,auto
14,15,923,Connceted,21,14.6V,V,V,V,223V,233V,236V,-,auto
15,16,-,Not Connceted,22,-,-,-,-,-,-,-,-,-
16,17,2671,Connceted,23,12.8V,V,V,V,V,V,V,-,auto
17,18,28443,Connceted,24,12.9V,V,V,V,V,V,V,-,auto
18,19,4443,Connceted,25,13.6V,219V,219V,219V,V,V,V,-,auto
19,20,4500,Connceted,26,13.7V,206V,211V,229V,V,V,V,-,auto
20,21,3686,Connceted,27,13.5V,V,V,V,V,V,V,-,auto
21,22,1469,Connceted,28,12.6V,V,V,V,V,V,V,-,auto
22,23,3481,Connceted,29,13.8V,254V,257V,258V,V,V,V,-,auto
23,24,4200,Connceted,30,14.5V,V,V,V,235V,227V,231V,WARNING : Service Request,auto
24,25,37395,Connceted,31,13.7V,235V,234V,237V,V,V,V,-,auto
25,26,49969,Connceted,32,12.7V,V,V,V,V,V,V,-,auto
26,27,1524,Connceted,33,13.8V,219V,223V,222V,V,V,V,-,auto
27,28,1889,Connceted,34,13.4V,222V,222V,221V,V,V,V,-,auto
28,29,594,Connceted,36,14.3V,5V,V,7V,230V,232V,230V,WARNING : Service Request,auto
29,30,1192,Connceted,37,13.6V,225V,225V,225V,V,V,V,-,auto
30,31,3019,Connceted,38,12.7V,V,V,V,V,V,V,-,auto
31,32,1635,Connceted,39,13.6V,215V,225V,227V,V,V,V,-,auto
32,33,433,Connceted,41,13.8V,236V,236V,236V,V,V,V,-,auto
33,34,19798,Connceted,42,12.9V,V,V,V,V,V,V,-,auto
34,35,21740,Connceted,43,13.5V,207V,207V,207V,V,V,V,-,auto
35,36,1423,Connceted,44,13.4V,245V,245V,246V,V,V,V,WARNING : Service Request,auto
36,37,10850,Connceted,45,14.6V,V,V,V,231V,233V,233V,-,auto
37,38,138,Connceted,46,13.7V,238V,239V,235V,V,V,V,-,auto
38,39,7503,Connceted,48,14.3V,5V,7V,8V,224V,238V,234V,-,auto
39,40,-,Not Connceted,49,-,-,-,-,-,-,-,-,-
40,41,-,Not Connceted,53,-,-,-,-,-,-,-,-,-
41,42,26687,Connceted,54,13.4V,220V,227V,227V,V,V,V,-,auto
42,43,-,Not Connceted,55,-,-,-,-,-,-,-,-,-
43,44,385,Connceted,56,13.4V,206V,206V,206V,V,V,V,-,auto
44,45,213,Connceted,57,13.7V,196V,224V,224V,V,V,V,-,auto
45,46,755,Connceted,58,13.6V,209V,196V,209V,V,V,V,-,auto
46,47,16682,Connceted,61,13.3V,214V,213V,222V,V,V,V,SHUTDOWN ALARM: Fail to Start,auto
47,48,455,Connceted,62,13.8V,211V,211V,211V,V,V,V,-,auto
48,49,1089,Connceted,73,13.5V,227,236V,192V,V,V,V,-,auto
49,50,33722,Connceted,74,14.5V,6V,V,V,233V,241V,235V,-,auto
50,51,410,Connceted,107,13.7V,246V,247V,246V,V,V,V,-,auto
51,52,62,Connceted,106,13.1V,228V,229V,228V,V,V,V,-,auto
52,53,-,Not Connceted,104,-,-,-,-,-,-,-,-,-
53,54,143,Connceted,105,13.5V,210V,210V,211V,V,V,V,-,auto
54,55,1,Connceted,103,13.8V,212V,212V,225V,V,V,V,-,auto
55,56,84,Connceted,102,13.7V,242,243V,239V,V,V,V,-,auto
56,57,-,Connceted,91,-,-,-,-,-,-,-,-,-
57,58,6147,Connceted,101,13.7V,233V,238V,239V,V,V,V,-,auto
58,59,10801,Connceted,100,13.8V,232V,226V,231V,V,V,V,-,auto
59,60,1136,Connceted,99,13.8V,228V,226V,220V,V,V,V,WARNING : Service Request,auto
60,61,23673,Connceted,98,13.3V,215V,223V,222V,V,V,V,-,auto
61,62,43,Connceted,97,13.8V,241V,189V,189V,V,V,V,-,auto
62,63,8424,Connceted,96,13.5V,219V,226V,216V,V,V,V,-,auto
63,64,0,Connceted,94,13.9V,220V,221V,217V,V,V,V,-,auto
64,65,2788,Connceted,50,13.6V,221V,225V,225V,V,V,V,WARNING : Service Request,auto
65,66,621,Connceted,51,13.7V,220V,206V,224V,V,V,V,WARNING : Service Request,auto
66,67,830,Connceted,93,13.8V,220V,217V,189V,V,V,V,-,auto
67,68,-,Not Connceted,35,-,-,-,-,-,-,-,-,-
