Name,IP,COM
SJVH_Khando,10.170.0.54,COM2
KAKH_Shuamta,10.170.2.149,COM5
KAKH_Davit_Gareji,10.170.1.12,COM8
ADJR_Keda_TV,10.170.10.15,COM9
SJVH_Tskhratskaro,10.170.0.139,COM10
IMRT_Boriti,10.170.12.28,COM12
GURI_Nabeghlavi,10.170.11.12,COM13
KRTL_Irganchai,10.170.3.109,COM14
KRTL_Angrevani,10.170.3.22,COM15
MSTN_Magaroskari,10.170.5.104,COM16
ADJR_Shuakhevi_TV,10.170.10.37,COM17
SJVH_Borjomi_TV,10.170.0.137,COM19
SJVH_Kartsakhi,10.170.0.97,COM20
SJVH_Mamtsvara,10.170.0.90,COM21
SJVH_Efremovka,10.170.0.80,COM22
MSTN_Sioni,10.170.2.132,COM23
MSTN_Khevsurtsopeli,10.170.5.110,COM24
KRTL_Rekha,10.170.3.103,COM25
KRTL_Tsalka,10.170.3.107,COM26
KRTL_Bediani_Kldisi,10.170.3.12,COM27
KRTL_Tsopi,10.170.3.101,COM28
MSTN_Gudauri_TV,10.170.3.51,COM29
SVAN_Chuberi,10.170.15.99,COM30
KAKH_Gamarjveba,10.170.2.118,COM31
SHDK_Okami,10.170.5.106,COM32
MSTN_Dusheti_TV,10.170.5.120,COM33
IMRT_Leghvani,10.170.12.15,COM34
KRTL_Tandzia_Senebi,10.170.3.24,COM36
ADJR_Shubani,10.170.10.49,COM37
MSTN_Nichbisi,10.170.5.108,COM38
KAKH_Tsivi,10.170.2.175,COM39
ADJR_Gori_Shuakhevi,10.170.10.35,COM41
SHDK_Tkotsa,10.170.0.143,COM42
TBLS_Didi_Lilo,10.170.7.14,COM43
ADJR_Khikhadziri,10.170.10.44,COM44
SHDK_Abisi_Tseronisi,10.170.4.102,COM45
IMRT_Khevi,10.170.12.16,COM46
IMRT_Ghoresha,10.170.12.123,COM48
RACH_Tkibuli_Pass,10.170.12.113,COM49
RACH_Khonchiori,10.170.12.32,COM53
IMRT_Sairme,10.170.16.24,COM54
ADJR_Legva,10.170.18.21,COM55
IMRT_Ukhuti,10.170.16.26,COM56
SJVH_Tabatskuri,10.170.0.102,COM57
MSTN_Siontgori,10.170.5.118,COM58
GURI_Surebi,10.170.11.14,COM61
ADJR_Sarpi,10.170.10.5,COM62
IMRT_Nadaburi,10.170.12.120,COM73
IMRT_Nunisi,10.170.0.92,COM74
SJVH_Poka,10.170.0.82,COM107
MEGR_TSAISHI,10.170.15.66,COM106
MEGR_Martvili,10.170.13.43,COM104
MEGR_Didi_Chkoni,10.170.13.35,COM105
SJVH_Sakire,10.170.0.83,COM103
SJVH_Atskuri_MNT,10.170.0.85,COM102
SJVH_Bakuriani_Kokhta,10.170.0.135,COM91
SJVH_Tsagveri,10.170.0.24,COM101
SJVH_Kekhovani,10.170.0.42,COM100
IMRT_Tskaltashua,10.170.16.8,COM99
SJVH_Baraleti,10.170.0.53,COM98
